,adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count
437,False,/b2L7jOgo5cHiRIvljD2GCqZiYO2.jpg,"[36, 18, 10749]",454527,Benedetta,fr,Benedetta,A 17th-century nun becomes entangled in a forbidden lesbian affair with a novice. But it is Benedetta's shocking religious visions that threaten to shake the Church to its core.,7.6918,/yofVXmLYQbr8pdOeyDRrf9N8rF4.jpg,2021-07-09,False,False,6.605,1157
438,False,/kHOfxq7cMTXyLbj0UmdoGhT540O.jpg,"[28, 878, 35]",507244,Afterburn,en,Afterburn,"Set against the backdrop of a postapocalyptic Earth whose Eastern Hemisphere was destroyed by a massive solar flare, leaving what life remains mutated from radiation and fallout. The story revolves around a group of treasure hunters who extract such objects as the Mona Lisa, the Rosetta Stone and the Crown Jewels while facing rival hunters, mutants and pirates.",7.6894,/fSXZFZVfJmC2v0TkW711QD5o76N.jpg,2025-08-20,False,False,6.2,294
439,False,/p6FKy7z2Cqnn8GEatu7GYVFhk95.jpg,"[28, 14, 27, 53]",793387,Holy Night: Demon Hunters,ko,거룩한 밤: 데몬 헌터스,"When a devil-worshipping criminal network plunges Seoul into chaos, the police turn to Holy Night—a trio of supernatural demon hunters—to restore order and defeat the rising evil.",7.657,/v3Mo77Qjp6pctpD4eJaNT6kFRSB.jpg,2025-04-30,False,False,6.877,102
440,False,/5DKVH8KeqFwPacWFMyYqTaECxJP.jpg,"[28, 80, 35, 53]",955555,The Roundup: No Way Out,ko,범죄도시 3,"Detective Ma Seok-do changes his affiliation from the Geumcheon Police Station to the Metropolitan Investigation Team, in order to eradicate Japanese gangsters who enter Korea to commit heinous crimes.",7.6401,/n7qqzqhxBn4eiJLb0cVQjSnXjGy.jpg,2023-05-31,False,False,7.208,543
441,False,/eAIHqfS3kXm7kZl4j7ZBfdegyEz.jpg,"[53, 28, 80]",38700,Bad Boys for Life,en,Bad Boys for Life,"Marcus and Mike are forced to confront new threats, career changes, and midlife crises as they join the newly created elite team AMMO of the Miami police department to take down the ruthless Armando Armas, the vicious leader of a Miami drug cartel.",7.6248,/y95lQLnuNKdPAzw9F9Ab8kJ80c3.jpg,2020-01-15,False,False,7.114,8741
442,False,/AkzGC9vQbKMHGebetpjBF4bU4VS.jpg,"[27, 53]",1010756,The Strangers: Chapter 2,en,The Strangers: Chapter 2,"After learning that one of their victims, Maya, is still alive, The Strangers return to finish the job. With nowhere to run and no one to trust, Maya soon finds herself in a brutal fight for survival against psychopaths more than willing to kill anyone who stands in their way.",7.617,/pqADzs5SJvI2jC0DThPVMuNJcWS.jpg,2025-09-25,False,False,6.098,323
443,False,/hClLP88yMIuhslwSVxtYrvWmxfp.jpg,"[28, 35, 80]",522627,The Gentlemen,en,The Gentlemen,"American expat Mickey Pearson has built a highly profitable marijuana empire in London. When word gets out that he’s looking to cash out of the business forever it triggers plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",7.5504,/jtrhTYB7xSrJxR1vusu99nvnZ1g.jpg,2020-01-01,False,False,7.661,6606
444,False,/rogeBJK44LtWynOqzMFmEF30T80.jpg,"[16, 14, 28, 12]",812225,Black Clover: Sword of the Wizard King,ja,映画 ブラッククローバー 魔法帝の剣,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",7.5503,/9YEGawvjaRgnyW6QVcUhFJPFDco.jpg,2023-06-16,False,False,8.102,386
445,False,/wGwSWDG3LIQxchg2M8HV7bDqYKU.jpg,"[16, 18, 14, 10749]",533514,Violet Evergarden: The Movie,ja,劇場版 ヴァイオレット・エヴァーガーデン,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",7.549,/bajajkoErDst0JxdFyBkABiF9rW.jpg,2020-09-18,False,False,8.288,511
446,False,/84h6avqHvW2TgLfERuqYkQwzjp1.jpg,"[27, 53]",1130276,Succubus,en,Succubus,A new father going through a marital separation joins a dating app and matches with a beautiful but mysterious young woman... whose powers of seduction and manipulation entangle him in a mystery more horrifying than he could have ever imagined.,7.5311,/7AfBMebJS8mEtSV5ymdxEPpgvXb.jpg,2024-10-06,False,False,8.577,235
447,False,/8GnWDLn2AhnmkQ7hlQ9NJUYobSS.jpg,"[878, 28]",695721,The Hunger Games: The Ballad of Songbirds & Snakes,en,The Hunger Games: The Ballad of Songbirds & Snakes,"64 years before he becomes the tyrannical president of Panem, Coriolanus Snow sees a chance for a change in fortunes when he mentors Lucy Gray Baird, the female tribute from District 12.",7.4955,/mBaXZ95R2OxueZhvQbcEWy2DqyO.jpg,2023-11-15,False,False,6.983,3501
